club_name,year,price_full_7day_adult,price_under_12,price_junior_12_18,price_colt_21,price_intermediate_25,price_intermediate_28,price_intermediate_31_35,price_student,price_5day_adult,price_country_member,total_historic_revenue,total_member_count
Westhoughton Golf Club,2027,"£1,210.00",80,170,410,615,825,1045,410,845,450,225000,330
Haigh Hall Golf Club,2026,"£980.00",60,130,340,500,670,850,340,680,360,165000,290
Haigh Hall Golf Club,2027,"£1,020.00",65,135,355,520,700,890,355,710,375,173000,295
Gathurst Golf Club,2026,"£1,280.00",90,185,440,650,880,1110,440,890,480,255000,350
Gathurst Golf Club,2027,"£1,330.00",95,195,460,680,920,1160,460,930,500,267000,355
Stand Golf Club,2026,"£1,340.00",100,200,460,680,920,1160,460,940,510,280000,360
Stand Golf Club,2027,"£1,395.00",105,210,480,710,960,1210,480,980,530,293000,365
Bury Golf Club,2026,"£1,380.00",105,210,470,700,940,1190,470,960,520,290000,365
Bury Golf Club,2027,"£1,435.00",110,220,490,730,980,1240,490,1000,540,303000,370
Lowes Park Golf Club,2026,"£1,060.00",65,140,360,540,730,920,360,740,390,185000,310
Lowes Park Golf Club,2027,"£1,100.00",70,145,375,560,760,960,375,770,405,194000,315
Walmersley Golf Club,2026,"£1,120.00",70,150,380,560,760,960,380,780,410,200000,320
Walmersley Golf Club,2027,"£1,165.00",75,160,400,585,795,1005,400,815,430,210000,325
Pike Fold Golf Club,2026,"£1,290.00",90,185,440,660,880,1120,440,900,480,260000,350
Pike Fold Golf Club,2027,"£1,340.00",95,195,460,690,920,1170,460,940,500,272000,355
North Manchester Golf Club,2026,"£1,300.00",95,190,450,670,890,1130,450,910,490,265000,352
North Manchester Golf Club,2027,"£1,350.00",100,200,470,700,930,1180,470,950,510,278000,357
Blackley Golf Club,2026,"£1,270.00",90,185,440,650,870,1090,440,880,480,250000,345
Blackley Golf Club,2027,"£1,320.00",95,195,460,680,910,1140,460,920,500,262000,350
Heaton Park Golf Club,2026,"£920.00",50,120,310,460,620,790,310,640,340,150000,280
Heaton Park Golf Club,2027,"£955.00",55,125,325,480,650,825,325,665,355,157000,285
Windermere Golf Club,2026,"£1,450.00",115,230,500,750,1010,1270,500,1020,570,320000,375
Windermere Golf Club,2027,"£1,510.00",120,240,520,780,1055,1325,520,1065,595,335000,380
Carus Green Golf Club,2026,"£1,390.00",105,210,470,700,940,1190,470,960,520,290000,365
Carus Green Golf Club,2027,"£1,445.00",110,220,490,730,980,1240,490,1000,540,303000,370
Kendal Golf Club,2026,"£1,260.00",85,180,430,640,860,1090,430,880,470,250000,345
Kendal Golf Club,2027,"£1,310.00",90,190,450,670,900,1140,450,920,490,261000,350
Ulverston Golf Club,2026,"£1,310.00",95,190,450,670,900,1140,450,910,490,265000,355
Ulverston Golf Club,2027,"£1,365.00",100,200,470,700,940,1190,470,950,510,278000,360
Grange-over-Sands Golf Club,2026,"£1,200.00",80,170,410,610,820,1040,410,830,450,230000,335
Grange-over-Sands Golf Club,2027,"£1,250.00",85,180,430,635,860,1090,430,865,470,241000,340
Barrow Golf Club,2026,"£1,180.00",80,165,400,600,800,1020,400,820,440,220000,330
Barrow Golf Club,2027,"£1,230.00",85,175,420,625,835,1065,420,855,460,231000,335
Furness Golf Club,2026,"£1,150.00",75,160,390,580,780,990,390,800,420,210000,325
Furness Golf Club,2027,"£1,195.00",80,170,410,605,815,1035,410,835,440,220000,330
Dunnerholme Golf Club,2026,"£1,020.00",60,135,350,520,700,880,350,710,380,175000,300
Dunnerholme Golf Club,2027,"£1,060.00",65,140,365,540,730,920,365,740,395,183000,305
Seascale Golf Club,2026,"£1,250.00",90,180,430,640,860,1090,430,870,470,245000,345
Seascale Golf Club,2027,"£1,300.00",95,190,450,670,900,1140,450,905,490,256000,350
Cockermouth Golf Club,2026,"£1,120.00",70,150,380,560,760,960,380,780,410,200000,320
Cockermouth Golf Club,2027,"£1,165.00",75,160,400,585,795,1005,400,815,430,210000,325
Workington Golf Club,2026,"£1,190.00",80,165,400,600,810,1020,400,830,440,225000,330
Workington Golf Club,2027,"£1,240.00",85,175,420,625,845,1065,420,865,460,235000,335
Whitehaven Golf Club,2026,"£1,140.00",75,155,380,570,770,980,380,790,420,205000,320
Whitehaven Golf Club,2027,"£1,185.00",80,165,400,595,805,1025,400,825,440,215000,325
